step,cap_1,cap_2,cap_3,cap_4,cap_5,cap_6,cap_7,cap_8,cap_9,cap_10
216,6.108327,46.407444,124.450459,20.759836,115.941682,26.202696,26.202696,26.202696,26.202696,26.202696
217,6.108327,46.407444,124.450459,20.759836,115.941682,26.202696,26.202696,26.202696,26.202696,26.202696
218,6.108327,46.407444,124.450459,20.759836,115.941682,26.202696,26.202696,26.202696,26.202696,26.202696
219,6.108327,46.407444,124.450459,20.759836,115.941682,26.202696,26.202696,26.202696,26.202696,26.202696
220,6.108327,46.407444,124.450459,20.759836,115.941682,26.202696,26.202696,26.202696,26.202696,26.202696
221,6.108327,46.407444,121.284286,20.759836,115.941682,26.202696,26.202696,26.202696,26.202696,26.202696
222,17.574657,46.407444,121.284286,20.759836,136.446413,26.468113,26.468113,26.468113,26.468113,26.468113
223,17.574657,46.407444,121.284286,20.759836,137.706030,26.468113,26.468113,26.468113,26.468113,26.468113
224,17.574657,46.407444,137.218219,20.759836,114.052059,26.468113,26.468113,26.468113,26.468113,26.468113
225,17.574657,46.407444,142.485002,20.759836,114.052059,26.468113,26.468113,26.468113,26.468113,26.468113
226,17.574657,46.407444,142.485002,20.759836,114.052059,26.468113,26.468113,26.468113,26.468113,26.468113
227,17.574657,52.052546,142.485002,20.759836,114.052059,26.468113,26.468113,26.468113,26.468113,26.468113
228,17.574657,52.052546,142.485002,20.759836,132.657890,30.706200,30.706200,30.706200,30.706200,30.706200
229,20.452407,52.052546,142.485002,20.759836,156.305388,23.156325,23.156325,23.156325,23.156325,23.156325
230,20.452407,52.052546,142.485002,20.759836,156.305388,19.950861,19.950861,19.950861,19.950861,19.950861
231,20.452407,52.052546,142.485002,20.759836,258.001071,19.950861,19.950861,19.950861,19.950861,19.950861
232,20.452407,52.052546,142.485002,20.759836,357.025148,20.048953,20.048953,20.048953,20.048953,20.048953
233,20.452407,52.052546,142.485002,20.759836,357.025148,20.048953,20.048953,20.048953,20.048953,20.048953
234,20.452407,52.052546,142.485002,20.759836,535.756219,20.048953,20.048953,20.048953,20.048953,20.048953
235,20.452407,52.052546,142.485002,20.759836,932.502322,20.048953,20.048953,20.048953,20.048953,20.048953
236,20.452407,54.704646,153.165785,20.759836,1124.000030,20.048953,20.048953,20.048953,20.048953,20.048953
237,20.452407,51.670844,153.165785,32.908185,915.950125,20.048953,20.048953,20.048953,20.048953,20.048953
238,20.452407,51.670844,153.165785,31.373072,915.950125,20.048953,20.048953,20.048953,20.048953,20.048953
239,20.452407,51.670844,153.165785,31.373072,915.950125,20.048953,20.048953,20.048953,20.048953,20.048953
240,20.452407,51.670844,153.165785,31.373072,915.950125,20.048953,20.048953,20.048953,20.048953,20.048953
241,20.452407,51.670844,153.165785,34.697115,915.950125,20.048953,20.048953,20.048953,20.048953,20.048953
242,20.452407,51.670844,153.165785,34.697115,915.950125,19.668712,19.668712,19.668712,19.668712,19.668712
243,20.452407,51.670844,153.165785,27.707483,859.196580,19.668712,19.668712,19.668712,19.668712,19.668712
244,20.452407,51.670844,153.165785,27.707483,859.196580,17.202559,17.202559,17.202559,17.202559,17.202559
245,20.452407,51.670844,153.165785,27.707483,859.196580,17.202559,17.202559,17.202559,17.202559,17.202559
246,20.452407,51.670844,153.165785,27.707483,859.196580,17.202559,17.202559,17.202559,17.202559,17.202559
247,20.452407,51.670844,153.165785,27.707483,1082.404463,17.202559,17.202559,17.202559,17.202559,17.202559
248,20.452407,51.670844,153.165785,27.707483,1029.974547,17.881877,17.881877,17.881877,17.881877,17.881877
249,20.452407,51.670844,153.165785,27.707483,1029.974547,17.881877,17.881877,17.881877,17.881877,17.881877
