bar,date,equity
934,2023-03-03 00:00:00,0.9120521359
935,2023-03-04 00:00:00,0.9120521359
936,2023-03-05 00:00:00,0.9120521359
937,2023-03-06 00:00:00,0.9120521359
938,2023-03-07 00:00:00,0.9120521359
939,2023-03-08 00:00:00,0.9120521359
940,2023-03-09 00:00:00,0.9120521359
941,2023-03-10 00:00:00,0.9120521359
942,2023-03-11 00:00:00,0.9120521359
943,2023-03-12 00:00:00,0.9120521359
944,2023-03-13 00:00:00,0.9119548892
945,2023-03-14 00:00:00,0.9137418798
946,2023-03-15 00:00:00,0.9082609472
947,2023-03-16 00:00:00,0.9081641048
948,2023-03-17 00:00:00,0.9196653786
949,2023-03-18 00:00:00,0.9175813987
950,2023-03-19 00:00:00,0.9189790288
951,2023-03-20 00:00:00,0.9145778146
952,2023-03-21 00:00:00,0.9208691774
953,2023-03-22 00:00:00,0.9000393495
954,2023-03-23 00:00:00,0.9099180298
955,2023-03-24 00:00:00,0.9019477738
956,2023-03-25 00:00:00,0.9014650358
957,2023-03-26 00:00:00,0.9058083424
958,2023-03-27 00:00:00,0.8981073826
959,2023-03-28 00:00:00,0.9114856872
960,2023-03-29 00:00:00,0.9175016380
961,2023-03-30 00:00:00,0.9137205728
962,2023-03-31 00:00:00,0.9167630524
963,2023-04-01 00:00:00,0.9104246703
964,2023-04-02 00:00:00,0.9086744359
965,2023-04-03 00:00:00,0.9097400276
966,2023-04-04 00:00:00,0.9137266728
967,2023-04-05 00:00:00,0.9162787651
968,2023-04-06 00:00:00,0.9138625358
969,2023-04-07 00:00:00,0.9132837863
970,2023-04-08 00:00:00,0.9122914539
971,2023-04-09 00:00:00,0.9129641087
972,2023-04-10 00:00:00,0.9163793303
973,2023-04-11 00:00:00,0.9150246968
974,2023-04-12 00:00:00,0.9168581806
975,2023-04-13 00:00:00,0.9168581806
976,2023-04-14 00:00:00,0.9168581806
977,2023-04-15 00:00:00,0.9168581806
978,2023-04-16 00:00:00,0.9168581806
979,2023-04-17 00:00:00,0.9168581806
980,2023-04-18 00:00:00,0.9168581806
981,2023-04-19 00:00:00,0.9168581806
982,2023-04-20 00:00:00,0.9168581806
983,2023-04-21 00:00:00,0.9168581806
984,2023-04-22 00:00:00,0.9168581806
985,2023-04-23 00:00:00,0.9168581806
986,2023-04-24 00:00:00,0.9168581806
987,2023-04-25 00:00:00,0.9168581806
988,2023-04-26 00:00:00,0.9168581806
989,2023-04-27 00:00:00,0.9168581806
990,2023-04-28 00:00:00,0.9168581806
991,2023-04-29 00:00:00,0.9168581806
992,2023-04-30 00:00:00,0.9168581806
993,2023-05-01 00:00:00,0.9168581806
994,2023-05-02 00:00:00,0.9168581806
995,2023-05-03 00:00:00,0.9168581806
996,2023-05-04 00:00:00,0.9168581806
997,2023-05-05 00:00:00,0.9168581806
998,2023-05-06 00:00:00,0.9168581806
999,2023-05-07 00:00:00,0.9168581806
1000,2023-05-08 00:00:00,0.9168581806
1001,2023-05-09 00:00:00,0.9168581806
1002,2023-05-10 00:00:00,0.9168581806
1003,2023-05-11 00:00:00,0.9168581806
1004,2023-05-12 00:00:00,0.9168581806
1005,2023-05-13 00:00:00,0.9168581806
1006,2023-05-14 00:00:00,0.9168581806
1007,2023-05-15 00:00:00,0.9168581806
1008,2023-05-16 00:00:00,0.9168581806
1009,2023-05-17 00:00:00,0.9168581806
1010,2023-05-18 00:00:00,0.9168581806
1011,2023-05-19 00:00:00,0.9168581806
1012,2023-05-20 00:00:00,0.9168581806
1013,2023-05-21 00:00:00,0.9168581806
1014,2023-05-22 00:00:00,0.9168581806
1015,2023-05-23 00:00:00,0.9168581806
1016,2023-05-24 00:00:00,0.9168581806
1017,2023-05-25 00:00:00,0.9168581806
1018,2023-05-26 00:00:00,0.9168581806
1019,2023-05-27 00:00:00,0.9168581806
1020,2023-05-28 00:00:00,0.9168581806
1021,2023-05-29 00:00:00,0.9168581806
1022,2023-05-30 00:00:00,0.9168581806
1023,2023-05-31 00:00:00,0.9168581806
1024,2023-06-01 00:00:00,0.9168581806
1025,2023-06-02 00:00:00,0.9167604215
1026,2023-06-03 00:00:00,0.9154559975
1027,2023-06-04 00:00:00,0.9194391496
1028,2023-06-05 00:00:00,0.9131732553
1029,2023-06-06 00:00:00,0.9131732553
1030,2023-06-07 00:00:00,0.9131732553
1031,2023-06-08 00:00:00,0.9131732553
1032,2023-06-09 00:00:00,0.9130758891
1033,2023-06-10 00:00:00,0.9059979545
